,Title,Price,Rating,Seller,URLs
0,AMD Ryzen 5 7600X - 6-Core 4.7 GHz - Socket AM5 - 105W Desktop Processor (100-100000593WOF),$299.00 ,4.9,Sold & Shipped by Newegg,https://www.newegg.com/amd-ryzen-5-7600x-ryzen-5-7000-series/p/N82E16819113770?Item=N82E16819113770
1,Intel Core i7-12700K - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512700K,$323.88 ,4.9,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i7-12700k-core-i7-12th-gen/p/N82E16819118343?Item=N82E16819118343
2,AMD Ryzen 7 5800X3D - Ryzen 7 5000 Series 8-Core 3.4 GHz Socket AM4 105W Desktop Processor - 100-100000651WOF,$369.98 ,4.9,,https://www.newegg.com/amd-ryzen-7-5800x3d-ryzen-7-5000-series/p/N82E16819113734?Item=N82E16819113734
3,Intel Core i9-13900K - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) P-core Base Frequency: 3.0 GHz E-core Base Frequency: 2.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513900,$623.43 ,4.9,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i9-13900k-core-i9-13th-gen/p/N82E16819118412?Item=N82E16819118412
4,AMD Ryzen 9 7900X - 12-Core 4.7 GHz - Socket AM5 - 170W Desktop Processor (100-100000589WOF),$474.00 ,4.9,Sold & Shipped by Newegg,https://www.newegg.com/amd-ryzen-9-7900x-ryzen-9-7000-series/p/N82E16819113769?Item=N82E16819113769
5,Intel Core i7-13700K - Core i7 13th Gen Raptor Lake 16-Core (8P+8E) P-core Base Frequency: 3.4 GHz E-core Base Frequency: 2.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513700K,$429.97 ,4.9,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i7-13700k-core-i7-13th-gen/p/N82E16819118414?Item=N82E16819118414
6,AMD Ryzen 5 5600G - Ryzen 5 5000 G-Series Cezanne (Zen 3) 6-Core 3.9 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000252BOX,$127.98 ,4.8,Sold & Shipped by Newegg,https://www.newegg.com/amd-ryzen-5-5600g-ryzen-5-5000-g-series/p/N82E16819113683?Item=N82E16819113683
7,Intel Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K,$426.53 ,4.8,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i9-12900k-core-i9-12th-gen/p/N82E16819118339?Item=N82E16819118339
8,AMD Ryzen 7 7700X - 8-Core 4.5 GHz - Socket AM5 - 105W Desktop Processor (100-100000591WOF),$347.99 ,4.9,,https://www.newegg.com/amd-ryzen-7-7700x-ryzen-7-7000-series/p/N82E16819113768?Item=N82E16819113768
9,Intel Core i9-11900K - Core i9 11th Gen Rocket Lake 8-Core 3.5 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811900K,$349.98 ,4.8,Sold & Shipped by Newegg,https://www.newegg.com/intel-core-i9-11900k-core-i9-11th-gen/p/N82E16819118231?Item=N82E16819118231
