,Title,Description,Price,Rating,Seller
0,AMD Ryzen 5 7600X - 6-Core 4.7 GHz - Socket AM5 - 105W Desktop Processor (100-100000593WOF),"['5nm 105W \r', '32MB L3 Cache \r', 'Windows 11 Supported\r', 'Cooling Device not Included - Processor Only']",$299.00 ,4.9,Sold & Shipped by Newegg
1,Intel Core i7-12700K - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512700K,"['Intel 7 Alder Lake Processor Base Power: 125W', 'Maximum Turbo Power: \r', '25MB L3 Cache \r', '12MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$323.88 ,4.9,Sold & Shipped by Newegg
2,AMD Ryzen 7 5800X3D - Ryzen 7 5000 Series 8-Core 3.4 GHz Socket AM4 105W Desktop Processor - 100-100000651WOF,"['7nm 105W \r', '96MB L3 Cache \r', '4MB L2 Cache \r', 'Windows 11 Supported']",$369.98 ,4.9,
3,Intel Core i9-13900K - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) P-core Base Frequency: 3.0 GHz E-core Base Frequency: 2.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513900,"['Raptor Lake 125W \r', '36MB L3 Cache \r', '32MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$623.43 ,4.9,Sold & Shipped by Newegg
4,AMD Ryzen 9 7900X - 12-Core 4.7 GHz - Socket AM5 - 170W Desktop Processor (100-100000589WOF),"['5nm 170W \r', '64MB L3 Cache \r', 'Windows 11 Supported\r', 'Cooling device not included - Processor Only']",$474.00 ,4.9,Sold & Shipped by Newegg
5,Intel Core i7-13700K - Core i7 13th Gen Raptor Lake 16-Core (8P+8E) P-core Base Frequency: 3.4 GHz E-core Base Frequency: 2.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513700K,"['Raptor Lake 125W \r', '30MB L3 Cache \r', '24MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$429.97 ,4.9,Sold & Shipped by Newegg
6,AMD Ryzen 5 5600G - Ryzen 5 5000 G-Series Cezanne (Zen 3) 6-Core 3.9 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000252BOX,"['7nm Cezanne (Zen 3) 65W \r', '16MB L3 Cache \r', '3MB L2 Cache \r', 'AMD Radeon Graphics \r', 'Windows 11 Supported']",$127.98 ,4.8,Sold & Shipped by Newegg
7,Intel Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K,"['Intel 7 Alder Lake Processor Base Power: 125W', 'Maximum Turbo Power: 241W \r', '30MB L3 Cache \r', '14MB L2 Cache \r', 'Intel UHD Graphics 770 \r', 'Windows 11 Supported']",$426.53 ,4.8,Sold & Shipped by Newegg
8,AMD Ryzen 7 7700X - 8-Core 4.5 GHz - Socket AM5 - 105W Desktop Processor (100-100000591WOF),"['5nm 105W \r', '32MB L3 Cache \r', 'Windows 11 Supported\r', 'Cooling Device not Included - Processor Only']",$347.99 ,4.9,
9,Intel Core i9-11900K - Core i9 11th Gen Rocket Lake 8-Core 3.5 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811900K,"['14nm Rocket Lake 125W \r', '16MB L3 Cache \r', 'Intel UHD Graphics 750 \r', 'Windows 11 Supported']",$349.98 ,4.8,Sold & Shipped by Newegg
